#{"t_start": 1774025425.9025102, "env_id": "ColoredChestKuka-v0"}
r,l,t
-22.920726,150,32.883689
-31.833018,150,32.971663
-31.831877,150,33.057561
-6.660122,150,33.144632
-4.071423,150,33.23182
-68.185915,150,33.318389
66.246728,150,33.406843
1019.677403,90,33.550571
31.190454,150,33.637856
1017.204763,73,33.694642
17.059042,150,33.779478
-33.246806,150,33.863192
-47.914781,150,33.950271
54.412673,150,34.036879
-20.984328,150,34.579822
60.403878,150,34.666224
-25.075848,150,34.750183
6.632031,150,34.83462
21.771238,150,34.922255
-40.374283,150,35.008094
9.696634,150,35.092715
-54.405848,150,35.246717
-49.817869,150,35.345083
-41.171725,150,35.433851
58.944292,150,35.519189
1.563928,150,35.607318
27.371534,150,35.690579
54.620994,150,35.777055
18.213862,150,36.324682
-33.175891,150,36.409881
27.505824,150,36.499593
-1.9922,150,36.584854
64.333365,150,36.670466
77.131476,150,36.758516
-3.047488,150,36.84588
28.334105,150,36.932521
79.530218,150,37.016841
20.72624,150,37.176808
1031.623376,93,37.245485
-14.666896,150,37.397689
38.020322,150,37.48983
58.894336,150,37.580171
-46.957629,150,38.13328
-54.299832,150,38.224158
-10.018751,150,38.309941
13.559753,150,38.397597
65.870023,150,38.486297
-43.562059,150,38.571735
10.255265,150,38.656649
-60.68845,150,38.746721
11.907402,150,38.835294
23.70311,150,38.924494
33.725216,150,39.015016
-46.012028,150,39.104233
-31.785137,150,39.208879
-39.035403,150,39.294744
2.241358,150,39.852878
12.283642,150,39.938648
28.83019,150,40.025297
-27.256681,150,40.109059
44.311988,150,40.199763
31.008011,150,40.287242
39.828784,150,40.41198
9.524726,150,40.503208
-41.367754,150,40.593535
18.328651,150,40.684181
-31.414255,150,40.772289
-19.366012,150,40.857241
1017.084475,77,40.914813
-50.972523,150,41.0006
-41.098624,150,41.562944
-73.509737,150,41.653476
-12.848693,150,41.744982
1013.66095,75,41.805157
25.048495,150,41.89516
1038.582821,115,41.968358
2.987235,150,42.172768
18.765168,150,42.411113
69.734576,150,42.512685
39.924152,150,42.608589
-11.880603,150,42.706722
46.498975,150,42.799555
43.963248,150,42.889122
36.263165,150,42.983281
45.967627,150,43.652993
43.643823,150,43.737357
-13.839411,150,43.824271
-47.741514,150,43.908546
53.544337,150,43.994652
59.458593,150,44.079757
30.526583,150,44.162614
-60.616424,150,44.248114
56.327906,150,44.336446
19.444617,150,44.425671
-62.177589,150,44.516023
-43.22378,150,44.606484
34.579769,150,44.696018
-69.627615,150,44.785854
-13.878861,150,45.347562
50.081551,150,45.43915
46.814879,150,45.530375
66.723182,150,45.616851
-24.698971,150,45.700107
1025.687428,87,45.759905
88.973716,150,45.845944
51.383424,150,45.93438
67.551961,150,46.027778
2.902224,150,46.114139
-26.364405,150,46.203665
38.522813,150,46.289222
26.449415,150,46.381557
64.02249,150,46.470457
-28.169726,150,47.024646
38.374917,150,47.117413
-70.440737,150,47.200769
71.06713,150,47.287148
-8.191625,150,47.372662
70.031321,150,47.468633
22.010423,150,47.555339
27.036257,150,47.724794
-3.035303,150,47.810301
6.68334,150,47.895387
14.788499,150,47.983442
39.543664,150,48.070924
-25.279336,150,48.156905
68.571085,150,48.242458
36.661642,150,48.788456
37.460792,150,48.876395
50.267468,150,48.966088
1015.542152,99,49.030451
50.036329,150,49.117539
12.538394,150,49.204848
34.136212,150,49.292328
11.387737,150,49.38151
47.32062,150,49.546768
46.838416,150,49.646991
47.645764,150,49.735566
1044.207908,109,49.807421
-37.797593,150,49.890748
42.285194,150,49.97816
30.040345,150,50.53827
12.498462,150,50.625351
