#{"t_start": 1774030652.557245, "env_id": "ColoredChestKuka-v0"}
r,l,t
11.562368,150,32.184222
24.920904,150,32.271396
41.879707,150,32.356683
-47.506227,150,32.441308
7.17584,150,32.526305
1024.197916,108,32.596764
-12.414437,150,32.68693
31.026792,150,32.872671
28.600257,150,32.959048
9.743526,150,33.046468
22.984993,150,33.134762
-6.059117,150,33.219471
-7.052021,150,33.303729
32.859346,150,33.392487
20.932248,150,33.954633
-6.520515,150,34.044787
-4.691234,150,34.13163
-30.302391,150,34.218815
1020.186927,93,34.281723
27.53391,150,34.366043
-14.186655,150,34.453585
28.471349,150,34.632554
1042.827678,121,34.706269
26.754749,150,34.791249
41.680542,150,34.87655
-1.881469,150,34.964011
-25.139043,150,35.052094
11.407308,150,35.137955
12.849807,150,35.686864
-27.173554,150,35.772061
-36.438642,150,35.856213
-35.001684,150,35.940351
71.388462,150,36.027103
-21.300647,150,36.111911
-10.561746,150,36.195739
-20.133429,150,36.494596
6.768495,150,36.641563
-4.605097,150,36.729985
59.033692,150,36.81617
-26.235843,150,36.90248
43.33173,150,36.988648
17.06855,150,37.082019
13.448777,150,37.631026
-22.668551,150,37.716255
18.783842,150,37.803161
41.016269,150,37.888188
4.246496,150,37.972087
12.59283,150,38.059812
-41.586808,150,38.145078
-53.119016,150,38.314987
27.998071,150,38.401407
41.80131,150,38.487613
5.404631,150,38.570641
-15.360334,150,38.654114
-45.666276,150,38.738086
3.980049,150,39.299705
-30.319738,150,39.387067
22.21789,150,39.471297
28.93464,150,39.641145
-48.191695,150,39.727634
-0.052444,150,39.814375
30.929549,150,39.900644
33.331727,150,40.078158
39.720893,150,40.167399
-32.855267,150,40.251553
12.544043,150,40.335941
14.771242,150,40.420692
-1.207762,150,40.504865
19.822138,150,40.590576
-7.561229,150,41.14913
-8.259773,150,41.23366
27.200385,150,41.319532
2.077874,150,41.405207
1017.095774,77,41.462806
20.792562,150,41.547416
43.864259,150,41.63305
31.949572,150,41.717066
-10.756395,150,41.876459
31.63827,150,42.008557
9.833438,150,42.098341
53.420866,150,42.185804
-15.857544,150,42.270025
-7.898791,150,42.352912
1019.330638,79,42.410636
4.279121,150,42.958304
-30.995163,150,43.044449
5.626713,150,43.130474
-22.2963,150,43.217156
13.395987,150,43.301637
-19.331821,150,43.385532
11.321105,150,43.46962
1047.139425,138,43.640664
39.067952,150,43.729194
21.508673,150,43.816245
-40.679162,150,43.902801
11.856729,150,43.987279
78.772824,150,44.075998
-16.031075,150,44.630006
83.001904,150,44.717801
13.589171,150,44.802364
57.292952,150,44.886981
-10.156231,150,44.972456
-9.136424,150,45.060073
-1.092921,150,45.146354
-3.129724,150,45.230404
59.435827,150,45.397107
1012.772548,87,45.459366
-9.129315,150,45.543437
42.152023,150,45.629317
15.192439,150,45.715689
16.002295,150,45.800502
19.624454,150,45.884232
-15.341451,150,46.440286
1019.394177,85,46.500698
29.682002,150,46.587899
-10.516419,150,46.671761
29.71247,150,46.75691
11.099309,150,46.841502
1018.054195,79,46.900938
0.292515,150,46.987429
35.693487,150,47.156231
23.082708,150,47.301809
1012.666694,85,47.376284
-25.738067,150,47.461254
41.546125,150,47.544706
-12.575236,150,47.632164
-6.970784,150,47.722464
-38.782545,150,48.280358
26.305919,150,48.365315
61.155767,150,48.450447
61.925846,150,48.537267
3.797768,150,48.62239
42.940958,150,48.710546
-24.149177,150,48.797736
-12.348519,150,48.885881
1064.749793,121,49.044028
43.44765,150,49.133746
-4.838469,150,49.218713
7.043393,150,49.303271
-17.295575,150,49.389766
26.725179,150,49.940795
1023.294697,92,50.005219
11.07968,150,50.09548
61.869104,150,50.181974
-39.97168,150,50.267928
52.970578,150,50.357171
-38.347921,150,50.5344
13.389116,150,50.620452
24.514913,150,50.709674
