#{"t_start": 1774016855.9330106, "env_id": "ColoredChestKuka-v0"}
r,l,t
159.819954,150,2.304379
-68.580948,150,2.430422
-80.836152,150,2.545891
-55.896436,150,2.661228
57.012249,150,2.777404
-65.941306,150,2.892988
-56.440041,150,3.008556
-56.546549,150,3.123675
67.154721,150,3.238336
-64.350355,150,3.353606
-80.194404,150,3.468601
-74.546675,150,3.583654
-49.746485,150,3.698691
67.030119,150,4.597661
-52.920963,150,4.721961
21.186929,150,4.836931
-63.019623,150,4.954041
-82.737851,150,5.06968
-50.484397,150,5.184722
-63.152302,150,5.299679
-71.64104,150,5.415109
-19.739939,150,5.529287
-67.052849,150,5.644197
-74.635327,150,5.761418
183.381111,150,5.879235
-48.399984,150,5.994008
-82.893357,150,6.109099
69.618559,150,6.808954
40.896642,150,6.923918
-15.531462,150,7.038764
-50.726943,150,7.153383
-67.812283,150,7.267546
-89.21193,150,7.38191
-60.227683,150,7.49677
-59.712426,150,7.611037
-68.813597,150,7.726732
-82.894914,150,7.841434
-64.045994,150,7.956038
-48.613104,150,8.070942
-75.840564,150,8.187625
-84.941881,150,8.893661
-53.366416,150,9.009133
-5.047052,150,9.124654
37.130512,150,9.240326
-52.998637,150,9.355471
-39.917284,150,9.470281
72.044014,150,9.585806
-70.74714,150,9.701406
-52.742756,150,9.816999
-63.200759,150,9.932137
138.13581,150,10.047714
-60.472613,150,10.163392
27.349147,150,10.278521
-63.883745,150,10.395276
-50.167242,150,11.114551
-21.824805,150,11.229892
-49.326974,150,11.344197
-51.495838,150,11.461247
-48.551312,150,11.578305
7.520109,150,11.690486
-39.188539,150,11.802765
186.733071,150,11.91508
-69.641461,150,12.027522
-58.923505,150,12.139691
-55.094549,150,12.251836
-16.796405,150,12.364051
-43.246663,150,12.476374
-71.586215,150,12.590446
-59.534573,150,13.314401
-66.276411,150,13.42667
-56.268023,150,13.538719
-41.395363,150,13.651333
-59.819445,150,13.763998
213.969333,150,13.87716
252.38258,150,13.989807
-61.381392,150,14.10253
-73.608789,150,14.214707
356.818409,150,14.327542
-56.263419,150,14.439972
149.484143,150,14.55286
-55.360836,150,14.665108
-77.430109,150,15.389529
-60.529615,150,15.504313
-61.636838,150,15.619708
285.2049,150,15.735856
-42.472601,150,15.850712
-43.13508,150,15.967767
-35.495766,150,16.088092
-56.662742,150,16.202694
-39.438658,150,16.317933
-66.554444,150,16.432554
-17.385246,150,16.546477
